"","catchment_no","criteria","mean_nrmse","mean_r2","mean_nse","mean_kge","n_windows","mean_delta1","mean_shape1","mean_rate1","sd_delta1","sd_shape1","sd_rate1","mean_delta2","mean_shape2","mean_rate2","sd_delta2","sd_shape2","sd_rate2","median_mod_kge","median_mod_delta1","median_mod_shape1","median_mod_rate1","median_mod_delta2","median_mod_shape2","median_mod_rate2","longitude","latitude","region"
"43",1016,best_rmse,2.7248172803564,-0.113302933032086,-0.113302933032086,0.0729278085583874,2,4.66731322012378,1.53285347461065,0.627678089079725,4.80128173037769,0.240296282432703,0.383857097881478,0.787604016757332,1.7203945163164,0.893850080791953,0.360980988847873,0.52324073107141,0.582996287899047,0.0483932675027009,4.7661332366178,1.7913430454506,0.390265410838483,1.24777747162914,3.30091291319178,2.3687229239728,-113.142562866,49.1250114441,n.a.
"44",1019,best_aic,4.91233314263668,-0.0935813670590065,-0.0935813670590065,-0.198878502343749,2,6.54631108423921,2.56188084931255,1.61489451195879,7.30271797469473,0.752591788692594,0.744816096678296,1.05894493092376,2.17677347866375,1.55466667097378,1.4448463192181,0.940577178251349,0.932912038621532,-0.20073676036275,12.4895466323832,2.81101148338486,2.20111240634896,0.973642416914235,2.38898622059611,2.55079948231804,-110.507110596,49.8877792358,n.a.
"45",1019,best_bic,4.98726963829801,-0.112145477386074,-0.112145477386074,-0.195274857711138,1,3.71168854429973,2.11619746110186,1.50440485189225,5.66979324909953,0.661757269503679,0.767241727338978,1.02731944577946,1.74825461855581,1.10236860013543,0.557453380692618,0.815584901355783,0.814800337772792,-0.196189527997333,0.0138459796875889,1.79703924654784,1.3085373913755,0.0138459796875889,1.79703924654784,1.3085373913755,-110.507110596,49.8877792358,n.a.
"46",1019,best_rmse,4.92570157596949,-0.087275681183333,-0.087275681183333,-0.225404088823431,2,6.97684759095335,2.68840490126659,1.78885473417108,7.09267135574531,1.31224780186103,0.663005449142959,1.21454181386222,2.12001842729782,1.13613137404192,1.4741231126572,1.23106904144388,0.99661095664187,-0.207085883728803,25.6020419666054,2.87284388139841,2.33594621895948,4.1128364979786,1.52651388121744,0.279409882487361,-110.507110596,49.8877792358,n.a.
"47",102,best_aic,1.40730762594552,-0.0663991820032025,-0.0663991820032025,-0.389965984673013,1,3.16131113826759,1.11223081890404,0.0728145445819414,3.80668215437046,0.154927389601027,0.234055947565292,1.07428040853035,1.09480834037451,0.292881316298605,0.374395519353663,0.143002923294294,0.398215842913127,-0.390023984759537,1.29710475655938,1.12594214756627,0.00458787920101377,1.29710475655938,1.12594214756627,0.00458787920101377,-123.0355606,54.99583054,n.a.
"48",102,best_bic,1.40480678569192,-0.0664055403575571,-0.0664055403575571,-0.405002411790008,1,2.09032421950483,1.07071506775892,0.00595290886016093,2.43442111778269,0.14538921184483,0.00158641566559489,1.07775392279208,1.02214311954778,0.274288722549396,0.40622714268548,0.119851453960074,0.42711488497457,-0.399320190942273,2.60287617119367,1.19763095462017,0.0070393527502472,1.5387513612512,0.898243160019356,1.08744330537201,-123.0355606,54.99583054,n.a.
"49",102,best_rmse,1.40228236875773,-0.0489943960871253,-0.0489943960871253,-0.416879832429482,1,1.6500486498723,1.1857763934505,0.03779080215838,1.92666320414098,0.234637189360052,0.153949564559947,1.18343923568049,1.19174887272425,0.0578821137789786,0.20783046213209,0.235503048416167,0.194358885179904,-0.419619918957935,1.06285249666321,1.40726516480775,0.00885875904570719,1.06285249666321,1.40726516480775,0.00885875904570719,-123.0355606,54.99583054,n.a.
"53",1022,best_aic,1.03028426955561,0.117544533621417,0.117544533621417,0.113554657572721,2,2.85864049550891,1.29856529436511,0.15730859793261,3.21468369278767,0.28799427336661,0.222248248871721,0.938181738220911,1.15627971179768,0.248867905553282,0.37838661953091,0.264296974295313,0.254628202290847,0.117559701136203,1.14566323392486,1.65036480670035,0.0729675047425554,0.514652870002401,0.932403677908783,0.638568394181097,-115.571769714,51.1722297668,n.a.
"54",1022,best_bic,1.03667006084799,0.119420382884005,0.119420382884005,0.11408793323222,1,1.62212283130926,1.18046586690201,0.0725841633843688,1.37725310749847,0.219790222302612,0.0641145000105107,1.03768217350507,1.07099110211588,0.203831814510924,0.217390775113673,0.224313875418546,0.295378383127192,0.116954538512541,1.43617155918596,0.955139577197095,0.375986151774615,0.740440108653836,1.29902655300276,0.0622013829453933,-115.571769714,51.1722297668,n.a.
"55",1022,best_rmse,1.03627415285287,0.116388604942712,0.116388604942712,0.115926658319742,2,4.20326789660862,1.30400155707312,0.0946709224315791,4.01135624288104,0.261558655969676,0.107404287855496,1.0102079205032,1.13585366151789,0.23091479842235,0.298051241263059,0.236716428799915,0.254357076943923,0.114067643853942,11.6029879369512,1.50292458573083,0.0649954318454911,0.975884816492651,1.18195616312617,0.336762417777738,-115.571769714,51.1722297668,n.a.
