"","catchment_no","criteria","mean_nrmse","mean_r2","mean_nse","mean_kge","n_windows","sd_windows","mean_delta1","mean_sigma1","sd_delta1","sd_sigma1","mean_delta2","mean_sigma2","sd_delta2","sd_sigma2","median_mod_kge","median_mod_delta1","median_mod_sigma1","median_mod_delta2","median_mod_sigma2","longitude","latitude","region"
"36",102,best_aic,1.37911505747134,-0.0405155437183525,-0.0405155437183525,-0.207975141017919,1,0.509901951359279,1.45204795941409,1.45301329670161,2.98552523497802,2.60266235167558,0.0841624179430069,2.36924166746474,0.102452401726975,2.57811290350328,-0.219798727387916,0.037580878245285,0.452296750384245,0.037580878245285,0.452296750384245,-123.0355606,54.99583054,n.a.
"37",102,best_bic,1.40657104676017,-0.0617574993404325,-0.0617574993404325,-0.220195228964534,1,0.509901951359279,1.44622899343809,1.67196389052293,2.51366979790526,3.5329720079742,0.048090886505068,2.4718684141237,0.0708582652221853,2.55947451770284,-0.24295368657935,1.36228823889373e-06,12.3755305981499,1.61786334699917e-07,0.182112266731355,-123.0355606,54.99583054,n.a.
"38",102,best_rmse,1.43532339083323,-0.0967541954431618,-0.0967541954431618,-0.264920344612476,2,0.435889894354067,2.02205311476293,1.22015554850695,2.91818229555896,2.80326258454139,0.0522853529123401,4.14687438620872,0.0723921737448959,3.7783810993671,-0.305876601224719,10.1925590055836,0.170095043943734,0.000379978116591217,2.38666800357004,-123.0355606,54.99583054,n.a.
"39",1020,best_aic,11.6373867840356,-0.0129999088294378,-0.0129999088294378,-0.48084188277432,2,0.506622805119022,2.02877437728175,0.543166210791845,2.25468583351887,1.07784191768282,0.241841005691342,2.93812916405692,0.0571441375595529,2.34115710052295,-0.460296426926077,5.17347882097867,0.108227899328543,0.245687790646225,4.937010549491,-110.257591248,50.1634788513,n.a.
"40",1020,best_bic,10.8762946431586,-0.0114153746750004,-0.0114153746750004,-0.555240437588862,1,0,0.207512955676184,0.590683675330602,0.105929343320585,0.0184177179673916,0.207512955676184,0.590683675330602,0.105929343320585,0.0184177179673916,-0.616792402708686,0.281758449907554,0.602701474467473,0.281758449907554,0.602701474467473,-110.257591248,50.1634788513,n.a.
"41",1020,best_rmse,11.3005823534886,-0.0126942969482358,-0.0126942969482358,-0.537306428061662,2,0.374165738677394,2.72885660629608,1.10268335479273,2.63046436862145,1.84483534412954,0.203862107595165,3.37317483617808,0.0868483862097093,2.32288661990286,-0.567600717418363,1.35638411472843,0.128081016375129,0.277442900566406,5.19590759322628,-110.257591248,50.1634788513,n.a.
"42",1022,best_aic,1.05815304806155,0.0864508410032521,0.0864508410032521,0.107616781023838,2,0,2.07543403302893,5.98253746699705,9.41752942532525,5.75428889202914,0.00602339406736212,5.06623685997274,0.0183885183175231,6.3515532349499,0.106405438570337,0.0128854966083105,0.0462793413106283,4.03642824579425e-07,4.08599472986458,-115.571769714,51.1722297668,n.a.
"43",1022,best_bic,1.053954290689,0.102076734181585,0.102076734181585,0.104519250445659,2,0,0.117806190579145,5.62223537478061,0.205489063941671,5.76048256283922,0.00102662564562561,5.0248372942135,0.00199291404255655,6.65657373834532,0.104819829342814,0.00426024497155782,17.5113378128338,0.000342125706241292,0.0860879940356599,-115.571769714,51.1722297668,n.a.
"44",1022,best_rmse,1.05014523358627,0.101845289735527,0.101845289735527,0.103535473601867,2,0,0.235135492193151,5.4383134699431,0.432961666715699,5.41189219339092,0.00966956787834929,5.31572161573944,0.0392349170702994,6.15742124011662,0.100146033474188,0.00206523459265664,9.97996510116945,0.000435055622232515,0.124003000572509,-115.571769714,51.1722297668,n.a.
"45",1030,best_aic,1.1997836973637,0.148113920827489,0.148113920827489,0.341364619415544,2,0,0.18083373520227,5.98017942092233,0.185897438599283,7.85085196405367,0.0293348977229608,9.87789268440702,0.0520463469029704,14.1168519295122,0.381189178634533,0.140826557675502,15.8831761242247,0.0354617929384541,0.291914966372085,-114.570953369,50.948928833,n.a.
