"","catchment_no","criteria","mean_nrmse","mean_r2","mean_nse","mean_kge","mean_delta","mean_shape","mean_rate","sd_delta","sd_shape","sd_rate","median_mod_kge","median_mod_delta","median_mod_shape","median_mod_rate","longitude","latitude","region"
"2943",2131,best_aic,1.40018525377183,0.0666035098331196,0.0666035098331196,-0.075397363450592,0.980596159984457,1.5921870656879,0.0211946571763984,0.70808237550979,0.780844232421525,0.0116654887787592,-0.0738789265232349,0.879835282914637,1.96671533269431,0.0451507205858253,-112.56827,38.28053,n.a.
"2944",2131,best_bic,1.38910273246586,0.0671409583592999,0.0671409583592999,-0.0761361937937797,0.854188343399496,1.45355547724178,0.0173651242834959,0.606054997154087,0.48781307085278,0.00654117591814464,-0.0721971502746424,1.02358830829611,1.58164700804278,0.016085013097704,-112.56827,38.28053,n.a.
"2945",2131,best_rmse,1.37766610627473,0.0641981021742186,0.0641981021742186,-0.0770095237190897,0.882650496337504,1.41810202426137,0.0179364779526656,0.427409555149214,0.523887213925581,0.0103948461615841,-0.072263966183663,0.417819789107822,1.65483894489599,0.0181938600924769,-112.56827,38.28053,n.a.
"2946",2132,best_aic,1.71125653557468,0.0587088756076916,0.0587088756076916,-0.0872336945537627,0.991887541489876,1.14427887195928,0.0244201485946556,0.169938799152726,0.133431120345396,0.0598436474531284,-0.0762780816717701,1.59283618642533,1.19336022109456,0.0123017016504718,-113.03467,37.6722,n.a.
"2947",2132,best_bic,1.69364548524855,0.0685232727299397,0.0685232727299397,-0.070547427255847,1.08273803437309,1.1696577177051,0.0136370102313099,0.205627306643227,0.169664068702191,0.003861168262975,-0.0765801874428444,0.998885703126475,1.1500260660897,0.0128122030497886,-113.03467,37.6722,n.a.
"2948",2132,best_rmse,1.66001846368254,0.0754382940029318,0.0754382940029318,-0.0632864971675156,0.983081607284772,1.16893225972036,0.0127983102701464,0.143198398656132,0.195549142490052,0.00310077868943758,-0.0651824353405717,0.877438272516573,1.27378048002957,0.0132172142821862,-113.03467,37.6722,n.a.
"2949",2133,best_aic,0.960595052195565,0.0977851774559531,0.0977851774559531,0.0590219515177399,1.02497797505581,1.18843017001238,0.0149044299567123,0.186183531414413,0.202505592863062,0.00526486182112046,0.0645645741394332,0.903628362007619,1.38717964136341,0.0144384339677059,-114.68916,39.20154,n.a.
"2950",2133,best_bic,0.952377835482333,0.0744601598610561,0.0744601598610561,0.0270499207069903,0.971398253368939,1.11155294491565,0.0134885765027175,0.191696787247248,0.170793999965678,0.00653721211187366,-0.0151757427679806,0.960193894482485,1.29125243972994,0.0124325414697319,-114.68916,39.20154,n.a.
"2951",2133,best_rmse,0.99134242213618,0.0448294447051127,0.0448294447051127,0.00545653256221643,1.01064329615755,1.1440903126406,0.0133152205987043,0.200679299783864,0.153134626904555,0.00455452857486877,-0.0248968610578721,1.10496506785864,1.06570013356663,0.0095166085005916,-114.68916,39.20154,n.a.
"2952",2134,best_aic,1.98680728962841,-0.0888825366904913,-0.0888825366904913,-0.193405684660992,1.0517230753239,1.32745227858342,0.0358316305932153,0.207974273171288,0.161167237366868,0.0362198410330793,-0.190623362747808,1.40687267471665,1.40061170679676,0.0292138588580594,-117.24537,38.88743,n.a.
"2953",2134,best_bic,2.11198741761011,-0.0367443800612848,-0.0367443800612848,-0.201062506265689,0.944748684916288,1.32514045454048,0.0272707474383753,0.270091055186276,0.201248116786038,0.0042888949689967,-0.202962511803081,0.710861555437437,1.41216376826958,0.0306733493148556,-117.24537,38.88743,n.a.
"2954",2134,best_rmse,2.13611191525056,-0.0637732563451377,-0.0637732563451377,-0.212653406581892,0.885359817247398,1.36900156093711,0.0287291838945573,0.201519205354234,0.192882917612596,0.00442091395835476,-0.20728094714799,1.25965355547244,1.19185465851839,0.0255074174756831,-117.24537,38.88743,n.a.
"2955",2135,best_aic,2.79497769687504,0.161800416513713,0.161800416513713,0.0702390315659544,1.01288007159726,0.628276828860366,0.174952268963224,0.407501761871845,0.323963736418772,0.283449955821409,0.145285754051288,0.956569031838126,0.409881818288794,0.0124603474175115,-116.55918,33.80502,n.a.
"2956",2135,best_bic,2.82374447397672,0.137577309505881,0.137577309505881,0.0563205776751513,1.21750466017209,0.563805715133187,0.140613101967714,0.42360078216867,0.265385354743123,0.26578865989689,0.113719774515952,1.92300099634271,0.395034506641309,0.00540146469145671,-116.55918,33.80502,n.a.
"2957",2135,best_rmse,2.80024156886307,0.181753257672288,0.181753257672288,0.0542308965011074,1.07596898870299,0.579977309029684,0.206738769142976,0.39177371359284,0.274423084448485,0.339629469040951,0.0878025079487216,0.794321406636575,0.387798082848043,0.00591210726245487,-116.55918,33.80502,n.a.
"2958",2136,best_aic,5.79780758381353,0.237593833034029,0.237593833034029,0.153689077351028,1.13968828401456,0.452918317858046,0.455314999799132,0.577340805198265,0.358712557021152,0.734562275994705,0.181181729067333,0.990505252908316,0.21857540583432,0.0198821259095583,-116.53557,33.74502,n.a.
"2959",2136,best_bic,6.39376413121921,0.208672664244738,0.208672664244738,0.00287773341558087,1.13703596794863,0.326079323682859,0.188301714339404,0.690892863138925,0.228009059839249,0.379409004354379,0.117026160997432,0.690399665675167,0.490670867778712,0.621575962046645,-116.53557,33.74502,n.a.
"2960",2136,best_rmse,6.51222149795854,0.0164667937900895,0.0164667937900895,-0.425297929928391,1.34930082132877,0.443107725172593,0.371864388845809,0.655668684511476,0.354560725087158,0.569355464233207,0.168908500860254,0.683429560392926,0.214322467287446,0.0182876534215578,-116.53557,33.74502,n.a.
"2961",2137,best_aic,1.88280209514172,0.304236692302152,0.304236692302152,0.242772632992417,1.12925790484597,0.357621880860494,0.0149302501373592,0.704519804182817,0.0936545609692017,0.0264905836133506,0.2575134668822,0.952010444206756,0.397688712820083,0.0103139185232931,-116.55002,33.76002,n.a.
"2962",2137,best_bic,1.84661412702044,0.331344171198389,0.331344171198389,0.262233968650303,1.05253332220542,0.351483858685636,0.0115062858080695,0.649770616997221,0.061902422802288,0.00768861546826277,0.263795067543391,0.436132082269449,0.35281501837071,0.00950498146667633,-116.55002,33.76002,n.a.
"2963",2137,best_rmse,1.91722393221547,0.286778184241254,0.286778184241254,0.247500551390698,0.995286649606038,0.419969802151618,0.0510803885547296,0.582927667626647,0.105092738260398,0.158378090955007,0.275029390621541,1.22219743002838,0.335228124898842,0.00687504144137633,-116.55002,33.76002,n.a.
"2964",2138,best_aic,6.78239303884525,0.118215427485405,0.118215427485405,-0.267896604601558,1.04113748129771,0.390334159200024,0.591483075710527,0.508068212291061,0.285365449023356,0.908896356873298,0.211363576189321,1.4060329880575,0.691534942171508,1.49996482074082,-116.39223,33.63114,n.a.
"2965",2138,best_bic,6.12842628692932,0.216378160284207,0.216378160284207,0.051192474924784,1.18557417741,0.326405646484257,0.431204355141593,0.511679324076884,0.181108805583373,0.586689388519608,0.212862726357333,0.580355146928234,0.190162608999187,0.0124943698305829,-116.39223,33.63114,n.a.
"2966",2138,best_rmse,5.6894948799744,0.226730212081194,0.226730212081194,0.078100848737795,0.984373392350773,0.42317579486507,0.602387242725553,0.509067453400578,0.412343512675639,0.796913002358293,0.218178331046308,0.998175224107897,0.45233088619234,0.877620240815051,-116.39223,33.63114,n.a.
"2967",2139,best_aic,3.02663012616099,0.161154002717564,0.161154002717564,0.139597887817648,0.95303960800026,0.575334432841432,0.0388928358388962,0.48894131928166,0.191664838062873,0.0999668378768074,0.177261452822819,1.08815729277427,1.13162813992109,0.395944269758039,-117.83951,34.42083,n.a.
"2968",2139,best_bic,2.85554128247011,0.209264553988644,0.209264553988644,0.163206865070455,0.978557275359816,0.606992827403282,0.112792461501962,0.539812431623777,0.276899300562319,0.221208891737555,0.18559894067576,1.74335906056383,0.407393434492448,0.0058172982812656,-117.83951,34.42083,n.a.
