"","catchment_no","criteria","n_windows","sd_windows","nrmse","r2","nse","kge","longitude","latitude","region"
"975",1468,best_bic,2,0.472581562625261,1.69032908404961,0.00246061495698493,0.00246061495698493,-0.158692048756475,-119.081939697,50.2577781677,n.a.
"976",1468,best_rmse,2,0.489897948556636,1.69285186343301,-0.00150153970799732,-0.00150153970799732,-0.15866209365291,-119.081939697,50.2577781677,n.a.
"978",147,best_bic,2,0.866025403784439,1.49755943067621,-0.0898694082854256,-0.0898694082854256,-0.200270720398426,-122.4761124,53.15528107,n.a.
"979",147,best_rmse,3,0.711805216802087,1.51239380209656,-0.0919743627225186,-0.0919743627225186,-0.217401112932039,-122.4761124,53.15528107,n.a.
"980",1470,best_aic,2,0.374165738677394,2.12836673490975,0.0268793531323814,0.0268793531323814,-0.119742744066805,-119.321388245,49.2492790222,n.a.
"981",1470,best_bic,1,0.585946527708232,2.12327182428875,0.0309706606009283,0.0309706606009283,-0.108538990452956,-119.321388245,49.2492790222,n.a.
"982",1470,best_rmse,2,0.33166247903554,2.12190368639956,0.0285372588336163,0.0285372588336163,-0.116092842937474,-119.321388245,49.2492790222,n.a.
"983",1471,best_aic,2,0.791622805802528,1.81456016459458,0.00327444889554212,0.00327444889554212,-0.176753976243896,-119.852027893,49.7945785522,n.a.
"984",1471,best_bic,1,0.842614977317636,1.83058584303145,0.0120754906743691,0.0120754906743691,-0.161365459455565,-119.852027893,49.7945785522,n.a.
"985",1471,best_rmse,3,1.01324561023804,1.83383735086631,0.00389970804255249,0.00389970804255249,-0.166916605617377,-119.852027893,49.7945785522,n.a.
"986",1472,best_aic,3,0.653197264742181,2.25513556864197,-0.0104457811488447,-0.0104457811488447,-0.261335327839768,-119.538612366,50.2122192383,n.a.
"987",1472,best_bic,2,0.723417813807024,2.28600082034423,-0.0115614087363467,-0.0115614087363467,-0.27542431934873,-119.538612366,50.2122192383,n.a.
"988",1472,best_rmse,3,0.408248290463863,2.2684633216973,-0.0123828847055668,-0.0123828847055668,-0.275421311102033,-119.538612366,50.2122192383,n.a.
"989",1473,best_aic,2,0.645497224367903,1.53620506637952,0.00710992670935249,0.00710992670935249,-0.138345824371714,-118.215278625,48.9844398499,n.a.
"990",1473,best_bic,2,0.781024967590665,1.53152522288252,0.00929226295221816,0.00929226295221816,-0.139725034388338,-118.215278625,48.9844398499,n.a.
"991",1473,best_rmse,3,0.585946527708232,1.5497277258646,0.0133413982027255,0.0133413982027255,-0.137216369711605,-118.215278625,48.9844398499,n.a.
"992",1474,best_aic,2,0.435889894354067,1.62855825379414,-0.000137619910846358,-0.000137619910846358,-0.130826503475448,-118.765281677,48.9813919067,n.a.
"993",1474,best_bic,1,0.33166247903554,1.62878434767671,0.00623239133857024,0.00623239133857024,-0.119638546504888,-118.765281677,48.9813919067,n.a.
"994",1474,best_rmse,2,0.597215762238964,1.6337608210938,0.00192547308646392,0.00192547308646392,-0.133995594816427,-118.765281677,48.9813919067,n.a.
"995",1476,best_aic,3,0.707106781186548,1.79749892356794,0.0402888701704933,0.0402888701704933,-0.0730963920666583,-119.092468262,49.7029190063,n.a.
"996",1476,best_bic,1,0.577350269189626,1.796326043695,0.0454345051330052,0.0454345051330052,-0.0683344400360681,-119.092468262,49.7029190063,n.a.
"997",1476,best_rmse,2,0.7,1.80116284402762,0.0430480904735106,0.0430480904735106,-0.0721741170860676,-119.092468262,49.7029190063,n.a.
"998",1477,best_aic,2,0.489897948556636,1.91079038614074,0.00486778173854514,0.00486778173854514,-0.177356094933146,-119.051963806,49.5653686523,n.a.
"999",1477,best_bic,2,0.645497224367903,1.88036507782545,-0.00170109137357001,-0.00170109137357001,-0.188856351851279,-119.051963806,49.5653686523,n.a.
"1000",1477,best_rmse,2,0.509901951359279,1.8925485988104,-0.00076021261877345,-0.00076021261877345,-0.194086825477597,-119.051963806,49.5653686523,n.a.
"1001",1478,best_aic,2,0.881286937760152,1.90937602293315,-0.0204729898840018,-0.0204729898840018,-0.247242115687714,-118.311752319,49.5891418457,n.a.
"1002",1478,best_bic,2,0.812403840463596,1.90881352582591,-0.0194843689514295,-0.0194843689514295,-0.244393594768263,-118.311752319,49.5891418457,n.a.
"1003",1478,best_rmse,2,0.748331477354788,1.90521048816419,-0.0192336537781715,-0.0192336537781715,-0.250378063611236,-118.311752319,49.5891418457,n.a.
"1004",1480,best_aic,2,0.816496580927726,1.72228521151232,-0.014346606998559,-0.014346606998559,-0.167565809956379,-114.553871155,49.0943984985,n.a.
"1005",1480,best_bic,2,0.690410505906933,1.71764163173761,-0.0169310575040711,-0.0169310575040711,-0.172740218336175,-114.553871155,49.0943984985,n.a.
"1006",1480,best_rmse,2,0.789514618821801,1.72334513544962,-0.0148863841818917,-0.0148863841818917,-0.173519035070727,-114.553871155,49.0943984985,n.a.
"1007",1483,best_aic,2,0.506622805119022,0.447392678934786,0.761602974185598,0.761602974185598,0.822874044364817,-132.051361084,53.0573005676,n.a.
"1008",1483,best_bic,2,0.351188458428425,0.447864006130531,0.760757678164087,0.760757678164087,0.823018828339191,-132.051361084,53.0573005676,n.a.
"1009",1483,best_rmse,2,0.509901951359279,0.450865920407172,0.753583195758794,0.753583195758794,0.825272895259588,-132.051361084,53.0573005676,n.a.
"1010",1486,best_aic,3,0.650640709864771,1.26155916950525,-0.122957325770973,-0.122957325770973,-0.17587185791988,-134.883605957,60.1277809143,n.a.
"1011",1486,best_bic,3,0.925562891794321,1.30017446893487,-0.144410286382482,-0.144410286382482,-0.217639475709261,-134.883605957,60.1277809143,n.a.
"1012",1486,best_rmse,3,0.58309518948453,1.26379573830712,-0.112663136529106,-0.112663136529106,-0.148107186156594,-134.883605957,60.1277809143,n.a.
"1013",1490,best_aic,2,0.541602560309064,1.01486781211312,-0.129532849450067,-0.129532849450067,-0.0590497700207306,-135.741104126,60.851108551,n.a.
"1014",1490,best_bic,2,0.5,0.99350188464704,-0.100987054368999,-0.100987054368999,-0.0241807349194191,-135.741104126,60.851108551,n.a.
"1015",1490,best_rmse,2,0.58309518948453,1.01026134112784,-0.124752479841993,-0.124752479841993,-0.0489147551006145,-135.741104126,60.851108551,n.a.
"1016",1492,best_aic,2,0.33166247903554,0.789239379389851,0.281888912246207,0.281888912246207,0.471416059653544,-135.486251831,60.7257499695,n.a.
"1017",1492,best_bic,1,0.408248290463863,0.797898585020041,0.259061210990891,0.259061210990891,0.463458224939442,-135.486251831,60.7257499695,n.a.
"1018",1492,best_rmse,2,0.374165738677394,0.882267445284075,0.233507448799046,0.233507448799046,0.397077162617771,-135.486251831,60.7257499695,n.a.
"1022",1495,best_aic,3,0.5,0.759013415630829,0.309382892285401,0.309382892285401,0.470124878101781,-134.836303711,61.8726081848,n.a.
"1023",1495,best_bic,2,0.723417813807024,0.784252907728788,0.282561760200697,0.282561760200697,0.440606252798281,-134.836303711,61.8726081848,n.a.
"1024",1495,best_rmse,3,0.577350269189626,0.772775629623781,0.299389198049729,0.299389198049729,0.457010983992738,-134.836303711,61.8726081848,n.a.
"1025",1497,best_aic,2,0.2,1.41930072801504,0.2492530519229,0.2492530519229,0.331274346227263,-137.009674072,62.5678291321,n.a.
"1026",1497,best_bic,1,0.408248290463863,1.39798162507007,0.248315761689193,0.248315761689193,0.338846093175124,-137.009674072,62.5678291321,n.a.
"1027",1497,best_rmse,2,0.5,1.4387942589738,0.244597562680889,0.244597562680889,0.327968731134334,-137.009674072,62.5678291321,n.a.
"1028",1498,best_aic,1,0,1.06136797962382,0.0706523075817133,0.0706523075817133,0.2150555066844,-136.280273438,62.0511703491,n.a.
"1029",1498,best_bic,1,0,1.06008268797919,0.0623954519767861,0.0623954519767861,0.211345313100977,-136.280273438,62.0511703491,n.a.
"1030",1498,best_rmse,2,0.734846922834953,1.05635632650711,0.0617491753218367,0.0617491753218367,0.222009648641722,-136.280273438,62.0511703491,n.a.
"1031",1499,best_aic,2,0.4,1.20217146101273,0.0995536326427665,0.0995536326427665,0.152823262819906,-132.407165527,61.9887809753,n.a.
"1032",1499,best_bic,1,0.374165738677394,1.19657947718218,0.0991376501332533,0.0991376501332533,0.14927869021221,-132.407165527,61.9887809753,n.a.
"1033",1499,best_rmse,2,0.33166247903554,1.20042403476209,0.105004127080181,0.105004127080181,0.155235892348261,-132.407165527,61.9887809753,n.a.
"1034",150,best_aic,1,0.925562891794321,1.91639019209733,-0.0838189180710084,-0.0838189180710084,-0.202740886981226,-122.519722,52.97306061,n.a.
"1035",150,best_bic,1,0.9,1.930565295121,-0.0916693337123815,-0.0916693337123815,-0.194980599729293,-122.519722,52.97306061,n.a.
"1036",1500,best_aic,2,0.541602560309064,1.17361277686385,0.186917956095865,0.186917956095865,0.266603280334056,-130.541671753,62.9249992371,n.a.
"1037",1500,best_bic,2,0.525991127935317,1.13152332731203,0.197247359225534,0.197247359225534,0.305339966451045,-130.541671753,62.9249992371,n.a.
"1038",1500,best_rmse,2,0.458257569495584,1.14222856855607,0.19451153701433,0.19451153701433,0.291138864475547,-130.541671753,62.9249992371,n.a.
"1039",1501,best_aic,3,0.435889894354067,0.993067178253199,0.163756098267089,0.163756098267089,0.280373188375655,-136.580566406,62.8297195435,n.a.
"1040",1501,best_bic,2,0.737111479583199,0.991137032090724,0.161737994541879,0.161737994541879,0.279927545136875,-136.580566406,62.8297195435,n.a.
"1041",1501,best_rmse,3,0.458257569495584,0.995197050715531,0.1620589675764,0.1620589675764,0.275498803580303,-136.580566406,62.8297195435,n.a.
"1042",1503,best_aic,3,0.509901951359279,1.08968622452462,0.150003840150757,0.150003840150757,0.228906820960661,-133.377807617,62.2207489014,n.a.
"1043",1503,best_bic,2,0.489897948556636,1.09002508659305,0.148704352058807,0.148704352058807,0.232407971549084,-133.377807617,62.2207489014,n.a.
"1044",1503,best_rmse,3,0.541602560309064,1.10049663892585,0.140505609122065,0.140505609122065,0.221405071340322,-133.377807617,62.2207489014,n.a.
"1045",1505,best_aic,3,0.707106781186548,1.28186800299863,0.360745826429983,0.360745826429983,0.353011836989509,-139.167922974,61.3460006714,n.a.
"1046",1505,best_bic,1,0.541602560309064,1.29921409071781,0.353145598350198,0.353145598350198,0.34340526610832,-139.167922974,61.3460006714,n.a.
"1047",1506,best_aic,2,0.541602560309064,0.941707635693387,-0.504676930650731,-0.504676930650731,0.404022935591453,-139.042602539,62.2049713135,n.a.
"1048",1506,best_bic,2,0.5,0.912301035603848,0.268277632843346,0.268277632843346,0.52873043109326,-139.042602539,62.2049713135,n.a.
"1049",1506,best_rmse,2,0.6,0.951425557769889,0.247122065577999,0.247122065577999,0.520486396807296,-139.042602539,62.2049713135,n.a.
"1050",1507,best_aic,2,0.627162924074226,1.26786664377877,0.184711392822068,0.184711392822068,0.131316284304653,-140.558670044,61.9881706238,n.a.
"1051",1507,best_bic,2,0.6,1.2602657021386,0.180700707967071,0.180700707967071,0.12881025882639,-140.558670044,61.9881706238,n.a.
"1052",1508,best_aic,2,0.509901951359279,0.642310472733679,0.229200309219076,0.229200309219076,0.413883410271824,-139.496932983,63.0825004578,n.a.
"1053",1508,best_bic,2,0.435889894354067,0.643789955610634,0.239604548793998,0.239604548793998,0.408390329381022,-139.496932983,63.0825004578,n.a.
