"","catchment_no","criteria","n_windows","sd_windows","nrmse","r2","nse","kge","longitude","latitude","region"
"1836","1747","best_bic","3","0.435889894354067","1.62279758606595","0.396993061244571","0.396993061244571","0.389865518625393","-82.0815","30.35885","NA"
"1837","1747","best_rmse","3","0.33166247903554","1.71155680110555","0.392019070091669","0.392019070091669","0.372546602868042","-82.0815","30.35885","NA"
"1838","1748","best_aic","3","0.408248290463863","1.99456341443562","0.292877437485511","0.292877437485511","0.264852469786722","-80.79617","27.56865","NA"
"1839","1748","best_bic","3","0.476095228569523","2.00891982024515","0.311633092331503","0.311633092331503","0.266006224573353","-80.79617","27.56865","NA"
"1840","1748","best_rmse","3","0.276887462097269","1.99918996077611","0.319358658876751","0.319358658876751","0.269518520061233","-80.79617","27.56865","NA"
"1841","1749","best_aic","3","0.476095228569523","1.06021670236515","0.22096920303402","0.22096920303402","0.281710984626584","-81.48938","28.87453","NA"
"1842","1749","best_bic","3","0.476095228569523","1.02089850906653","0.234742609339467","0.234742609339467","0.289915021859443","-81.48938","28.87453","NA"
"1843","1749","best_rmse","3","0.458257569495584","1.03804943052835","0.260722167959655","0.260722167959655","0.298177792704023","-81.48938","28.87453","NA"
"1844","175","best_aic","2","0.645497224367903","1.62834911111142","0.0211996625581246","0.0211996625581246","0.0120997689875229","-101.1416092","52.25968933","NA"
"1845","175","best_bic","2","0.476095228569523","1.6151321459575","0.0427070739969787","0.0427070739969787","0.0179659661731821","-101.1416092","52.25968933","NA"
"1846","175","best_rmse","3","0.472581562625261","1.5997946878289","0.050583696290139","0.050583696290139","0.0329905927666762","-101.1416092","52.25968933","NA"
"1847","1750","best_aic","3","0.5","1.54926301291076","0.474698928776651","0.474698928776651","0.505188860282544","-81.85204","29.97941","NA"
"1848","1750","best_bic","2","0.408248290463863","1.59234404270065","0.475342533305709","0.475342533305709","0.516506091589451","-81.85204","29.97941","NA"
"1849","1750","best_rmse","3","0.374165738677394","1.52053588112533","0.464695219800432","0.464695219800432","0.525348021320478","-81.85204","29.97941","NA"
"1850","1751","best_aic","2","0.408248290463863","2.4833819832993","0.365620242838727","0.365620242838727","0.354755132902071","-81.90649","30.1133","NA"
"1851","1751","best_bic","2","0","2.40429857412144","0.357759859671387","0.357759859671387","0.354956721615719","-81.90649","30.1133","NA"
