"","catchment_no","n_bad_runs","mean_kge","median_kge","AR_order","my_kge","country"
"1653","306",0,0.974850901063363,0.974607479288322,2,0.0117144195318271,"CA"
"1654","307",0,0.918368203398809,0.924355656415345,2,-0.131781817182777,"CA"
"1655","31",0,0.962373489427861,0.962255832782867,2,0.365290805192622,"CA"
"1656","311",0,0.969319775026393,0.969343998897811,2,-0.000789836175530523,"CA"
"1657","319",0,0.856396445604076,0.855561268909933,1,0.187363654561142,"CA"
"1658","32",0,0.978320178684374,0.977472162673646,2,0.0502561836548333,"CA"
"1659","320",0,0.828869500826137,0.834523068245925,1,0.794095369146058,"CA"
"1660","321",0,0.906205889018923,0.913369185596104,3,-0.164650968931544,"CA"
"1661","324",0,0.997471624612525,0.997536175526463,2,-0.256568513493451,"CA"
"1662","325",0,0.85929423696116,0.855836855527929,1,0.154274754123142,"CA"
"1663","326",0,0.960435340733309,0.961237696401417,2,-0.0765675645273185,"CA"
"1664","327",3,NA,NA,3,0.0712287041296173,"CA"
"1665","328",0,0.988553887560667,0.988122536446865,3,0.158587834549872,"CA"
"1666","329",0,0.915176819269025,0.913582109300852,2,-0.138842476178684,"CA"
"1667","33",0,0.937307020472756,0.93655402082869,1,0.556791618691927,"CA"
"1668","331",0,0.896066834103682,0.896025363167515,2,-0.124490021052872,"CA"
"1669","332",3,NA,NA,3,NA,"CA"
"1670","335",0,0.973630756351304,0.971865213853465,2,-0.119871214415997,"CA"
"1671","338",0,0.854868112660544,0.853716155649532,1,0.419556556398243,"CA"
"1672","340",3,NA,NA,3,0.0326744580792242,"CA"
"1673","342",0,0.771474652383999,0.766356920680601,1,0.412838680034874,"CA"
"1674","343",0,0.944024748916864,0.945131202040036,1,0.372243274663111,"CA"
"1675","344",0,0.891262922011788,0.892053265423409,2,-0.105412888797896,"CA"
"1676","345",0,0.953443075169577,0.953274552770549,3,0.131083868783866,"CA"
"1677","347",0,0.956107327877457,0.956126057238603,2,-0.205925367285256,"CA"
"1678","348",0,0.957104504440447,0.958186600274715,3,0.0246598424205615,"CA"
"1679","350",0,0.946809859702247,0.94583459159035,3,-0.0940439612120225,"CA"
"1680","352",0,0.885109013338328,0.884959301781808,1,0.0612813976338922,"CA"
"1681","353",0,0.97289852256568,0.975510276446312,3,-0.057605674119491,"CA"
"1682","354",0,0.851656480277158,0.8499688764783,2,0.059904184123986,"CA"
"1683","355",0,0.867668798666982,0.869975454479428,1,0.161818351072039,"CA"
"1684","356",0,0.993889742624476,0.994169372669111,3,-0.108402327279595,"CA"
"1685","357",0,0.911878202095207,0.911485371664102,1,0.0552542797612827,"CA"
"1686","36",0,0.989900657078064,0.990174467514331,2,0.208761845322923,"CA"
"1687","362",0,0.985672457620691,0.985704494152901,3,-0.0133067731207281,"CA"
"1688","363",0,0.745660902970971,0.736345278343839,1,0.082148802928549,"CA"
"1689","364",0,0.955777603736196,0.955532433185494,2,-0.00421221219304879,"CA"
"1690","365",0,0.893560609950814,0.889707892468911,2,0.106642468630458,"CA"
"1691","366",0,0.931698100957846,0.930712780472343,3,0.0604735277448407,"CA"
"1692","367",0,0.78499086909072,0.781374795837442,1,0.18393153422414,"CA"
"1693","368",0,0.821910986720348,0.819878400138241,1,0.120568236290611,"CA"
"1694","369",0,0.845171084543875,0.857769452465358,1,0.19034540750375,"CA"
"1695","37",0,0.965870429073493,0.966184455493084,2,0.280533727923975,"CA"
"1696","372",3,NA,NA,2,NA,"CA"
"1697","373",0,0.867341813235897,0.86911836210369,1,0.121739059199942,"CA"
"1698","374",0,0.835026559699472,0.835610534088222,2,0.25016693381476,"CA"
"1699","375",0,0.845449645962588,0.847846402411215,1,0.230980179112827,"CA"
"1700","377",0,0.800002361402865,0.801847402003412,1,0.424234523621214,"CA"
"1701","378",0,0.93827471762233,0.939656172174299,3,0.386557019230675,"CA"
"1702","379",0,0.990239249624637,0.990256647882747,2,NA,"CA"
"1703","381",0,0.998460421320343,0.998511442847627,3,NA,"CA"
"1704","383",0,0.996548099736673,0.996520261126613,2,NA,"CA"
"1705","384",0,0.930150699014928,0.930419380994636,2,NA,"CA"
"1706","385",0,0.937354844660512,0.93723418755292,2,0.348352146454992,"CA"
"1707","386",0,0.989599164073495,0.989644466137167,2,0.334356107319011,"CA"
"1708","387",0,0.949294365447673,0.950246129297987,2,-0.280391035628616,"CA"
"1709","388",0,0.990349896106322,0.990106869667719,2,-0.269739616969942,"CA"
"1710","390",0,0.995524504192321,0.995379297616661,2,-0.005749946958993,"CA"
"1711","392",0,0.957305022371828,0.958337141430326,3,0.181930516219775,"CA"
"1712","393",0,0.997929812359554,0.998020243756548,1,0.346621016983441,"CA"
"1713","394",0,0.999091489664487,0.999156100732199,2,0.273502110507061,"CA"
"1714","395",0,0.997373488870752,0.997415480745172,2,-0.113072493983637,"CA"
"1715","397",0,0.997302528252837,0.997299883560499,3,-0.226405277904764,"CA"
"1716","398",0,0.993688635538781,0.994619833997452,3,-0.381516202499971,"CA"
"1717","399",0,0.948323137603978,0.949398168499928,2,NA,"CA"
"1718","40",0,0.993999752165123,0.993954389895842,3,-0.210583674605209,"CA"
"1719","402",0,0.981856586020205,0.983171987474208,3,-0.259606258241543,"CA"
"1720","406",0,0.9688059554545,0.972365664716739,3,-0.288861098836467,"CA"
"1721","408",0,0.963497907614693,0.963359051095618,3,-0.382856203227216,"CA"
"1722","412",0,0.942363497915635,0.941390580273297,2,-0.401301204808273,"CA"
