gridcode,country,longitude,latitude,station_name,station_id,area_km2
130,CA,-80.76407623,51.07672119,NORTH FRENCH RIVER NEAR THE MOUTH,04MF001,6599.4001645031
132,CA,-85.2261886597,49.7641906738,PAGWACHUAN RIVER AT HIGHWAY NO. 11,04JD005,1900.87032407142
135,CA,-87.9654388428,49.5976104736,BLACKWATER RIVER AT BEARDMORE,02AD010,649.358814713577
136,CA,-96.60903168,49.64363861,SEINE RIVER NEAR STE. ANNE,05OH007,504.808473080386
138,CA,-98.9079971313,49.4463882446,CYPRESS RIVER NEAR BRUXELLES,05MH008,263.089031096503
140,CA,-98.2497177124,49.3793296814,SOUTH TOBACCO CREEK NEAR MIAMI,05OF017,76.1004309964271
141,CA,-57.1040000916,49.2666702271,BOOT BROOK AT TRANS-CANADA HIGHWAY,02YK008,18.7806828089145
143,CA,-99.51186371,49.56193924,OAK CREEK NEAR STOCKTON,05NG010,1172.94923025391
146,CA,-97.42247009,49.35483932,SHANNON CREEK NEAR MORRIS,05OF014,506.115017916087
147,CA,-90.5808105469,49.6113090515,BRIGHTSAND RIVER AT MOBERLEY,04GB005,1095.91008742921
148,CA,-83.6567993164,49.6828117371,MATTAWISHKWIA RIVER AT HEARST,04LK001,1161.6249353268
149,CA,-95.95683289,49.93878174,WHITEMOUTH RIVER NEAR WHITEMOUTH,05PH003,3691.92194426701
150,CA,-96.29,49.21,RAT RIVER NEAR SUNDOWN,05OE004,435.575420209742
152,CA,-56.67,49.34,SHEFFIELD BROOK NEAR TRANS CANADA HIGHWAY,02YK005,463.423306695888
153,CA,-55.0519981384,49.2160797119,SOUTHWEST BROOK AT LEWISPORTE,02YO012,58.6184221494086
154,CA,-84.5369415283,49.7728881836,NAGAGAMI RIVER AT HIGHWAY NO. 11,04JC002,2025.5422296368
155,CA,-58.1051902771,49.0583114624,RATTLER BROOK NEAR MCIVERS,02YL005,17.0487116014175
158,CA,-87.3767776489,48.9781112671,WHITESAND RIVER ABOVE SCHREIBER AT MINOVA MINE,02BA005,10.8758821065016
159,CA,-97.3053894043,49.0745010376,RIVIERE AUX MARAIS NEAR CHRISTIE,05OC022,181.855236880872
161,CA,-55.3966903687,49.1038284302,PETERS RIVER NEAR BOTWOOD,02YO006,180.554669314911
162,CA,-53.88566971,49.04217148,INDIAN BAY BROOK NEAR NORTHWEST ARM,02YR003,570.15535685026
163,CA,-54.9168891907,49.0112800598,SALMON RIVER NEAR GLENWOOD,02YQ005,81.8578275959734
165,CA,-97.4033966064,49.1912689209,BUFFALO CREEK NEAR ROSENFELD,05OC019,760.726656749419
166,CA,-57.6114196777,49.0122795105,SOUTH BROOK AT PASADENA,02YL004,55.110902420442
167,CA,-87.6901931763,48.9259986877,GRAVEL RIVER NEAR CAVERS,02AE001,647.490690872587
168,CA,-72.21166992,48.89944077,MISTASSIBI (RIVIERE),02RD002,8674.21968250044
169,CA,-72.26361084,48.88777924,MISTASSINI (RIVIERE) EN AMONT DE LA RIVIERE MISTASSIBI,02RD003,9715.33630176864
171,CA,-64.6986084,48.97972107,DARTMOUTH (RIVIERE) EN AMONT DU RUISSEAU DU PAS DE DAME,01BH005,635.008623611228
174,CA,-88.3768615723,48.9042205811,BLACK STURGEON RIVER AT HIGHWAY NO. 17,02AC002,2698.31966344405
175,CA,-72.0477829,48.81417084,PERIBONCA (PETITE RIVIERE),02RC011,1014.98132461026
177,CA,-98.9829406738,49.0887718201,CYPRESS CREEK NEAR CLEARWATER,05OB010,392.965566121502
180,CA,-64.9211120605,48.8066711426,"YORK (RIVIERE) A 1,4 KM EN AVAL DU RUISSEAU DINNER ISLAND",01BH010,663.374315775
181,CA,-99.3371887207,49.121421814,BADGER CREEK NEAR CARTWRIGHT,05OA007,1555.00942606894
182,CA,-86.2966079712,48.7740783691,PIC RIVER NEAR MARATHON,02BB003,3753.1284776841
183,CA,-66.4866714478,49.0588912964,"SAINTE-ANNE (RIVIERE) A 9,7 KM EN AMONT DU PONT-ROUTE 132",02QC009,786.318003954483
184,CA,-54.2225608826,48.8073883057,MIDDLE BROOK NEAR GAMBO,02YR001,265.443138381545
185,CA,-98.4537887573,49.0004005432,MOWBRAY CREEK NEAR MOWBRAY,05OB021,271.530281524649
186,CA,-88.5346069336,48.8216896057,WOLF RIVER AT HIGHWAY NO. 17,02AC001,609.754092553125
187,CA,-91.58,48.75,ATIKOKAN RIVER AT ATIKOKAN,05PB018,319.785157970822
191,CA,-98.6035003662,49.0203094482,SNOWFLAKE CREEK NEAR SNOWFLAKE,05OB016,892.579953667379
192,CA,-58.36264038,48.57582855,HARRYS RIVER BELOW HIGHWAY BRIDGE,02YJ001,636.787353510345
194,CA,-89.24,48.56,CURRENT RIVER AT STEPSTONE,02AB021,409.448511197552
195,CA,-53.9788894653,48.6077194214,SOUTHWEST BROOK AT TERRA NOVA NATIONAL PARK,02YS003,38.254131702374
196,CA,-89.1750335693,48.5195617676,NORTH CURRENT RIVER NEAR THUNDER BAY,02AB014,101.174355328803
197,CA,-66.1680603,48.62833023,CASCAPEDIA (RIVIERE) EN AVAL DU RUISSEAU BERRY,01BG005,1684.5819685966
198,CA,-70.9741668701,48.4888916016,"VALIN (RIVIERE) A 3,5 KM DE L'EMBOUCHURE",02RH045,757.975032327114
199,CA,-57.93,48.62,LEWASEECHJEECH BROOK AT LITTLE GRAND LAKE,02YK002,479.020182622498
200,CA,-96.6845321655,49.0894203186,ROSEAU RIVER AT GARDENTON,05OD004,3625.50033040189
202,CA,-72.51389313,48.68360901,SAUMONS (RIVIERE AUX) PRES DE L'EMBOUCHURE,02RF009,591.611683053673
204,CA,-89.2186126709,48.4491996765,MCVICAR CREEK AT THUNDER BAY,02AB019,46.3608371902264
205,CA,-67.44999695,48.4916687,MATAPEDIA (RIVIERE) PRES DE AMQUI,01BD008,558.029510130193
206,CA,-55.52869034,48.8266716,GREAT RATTLING BROOK ABOVE TOTE RIVER CONFLUENCE,02YO008,774.304897608452
207,CA,-53.3016090393,48.3959197998,SALMON COVE RIVER NEAR CHAMPNEYS,02ZJ002,82.9178827319185
208,CA,-89.3065567017,48.3833885193,NEEBING RIVER NEAR THUNDER BAY,02AB008,200.503789299536
